OTTMUST00000128238.1;pct;17;11;41;9;55;11;33;32;36;80;51;20;5;22;21;9;6;2;16;14;11;13;16;11;10;4;9;13;7;5;191;3113;3122;2922;0.788663967611336;3705
OTTMUST00000110695.1;pct;6;21;12;13;9;12;39;27;25;35;39;0;5;1;1;3;7;1;0;2;2;1;5;1;2;2;4;3;3;4;383;896;557;513;0.288040426726558;1781
OTTMUST00000052392.2;pct;6;2;23;4;7;5;13;20;14;37;28;10;4;4;11;4;3;1;6;1;4;4;4;0;5;1;0;5;1;3;204;1380;1257;1176;0.572541382667965;2054
OTTMUST00000042206.2;pct;3;6;9;13;9;14;22;11;31;23;29;6;4;1;2;1;3;0;2;0;1;2;3;0;3;2;7;2;3;1;111;1998;2025;1887;0.943028485757121;2001
OTTMUST00000129196.3;pct;5;1;4;2;0;0;0;2;1;17;4;0;0;2;2;0;1;0;0;1;2;0;0;0;1;0;1;1;0;0;395;509;240;114;0.223529411764706;510
OTTMUST00000093943.4;pct;6;4;10;1;4;5;8;5;7;18;12;1;3;1;2;0;0;0;3;1;0;0;2;0;0;1;1;1;0;0;0;1062;1062;1062;0.999059266227658;1063
OTTMUST00000059818.2;pct;11;1;10;6;10;2;18;21;11;21;23;7;8;4;4;3;2;3;4;7;2;8;5;1;3;2;2;3;0;5;215;2003;1925;1788;0.891770573566085;2005
OTTMUST00000060487.2;pct;2;1;5;1;5;2;8;7;12;19;10;0;1;1;1;0;1;1;1;0;1;0;2;0;3;1;1;1;1;1;390;876;411;486;0.553530751708428;878
OTTMUST00000135979.2;pct;1;0;4;0;2;0;4;5;0;10;4;1;2;4;1;0;1;1;2;0;2;2;0;4;1;0;0;0;1;0;84;405;471;321;0.788697788697789;407
OTTMUST00000041291.1;pct;14;20;45;31;52;24;46;41;83;165;113;21;10;28;13;3;11;3;18;19;9;12;13;10;10;6;9;16;8;9;83;5936;6050;5853;0.747987220447284;7825
OTTMUST00000065954.1;pct;2;3;6;2;11;4;9;10;8;25;14;5;2;3;2;2;2;1;3;2;1;0;3;1;4;1;0;1;3;3;178;910;932;732;0.633217993079585;1156
OTTMUST00000079943.2;pct;6;19;7;7;18;9;24;31;30;31;29;5;4;2;4;4;5;2;3;3;2;6;3;0;6;1;2;3;3;4;64;1480;1616;1416;0.610344827586207;2320
OTTMUST00000125992.1;pct;12;3;21;2;17;13;27;31;29;62;35;9;13;5;14;1;4;4;8;7;5;4;12;5;4;3;1;2;3;1;106;3205;3299;3099;0.890773210692728;3479
OTTMUST00000068883.1;pct;22;25;26;19;27;23;68;63;66;106;91;7;11;13;7;7;14;5;8;6;7;5;13;5;14;0;6;5;4;13;367;1426;1259;1059;0.19157018813314;5528
OTTMUST00000146989.1;pct;21;5;17;3;17;5;13;8;13;40;19;6;3;7;7;0;1;2;6;5;9;5;10;4;5;1;4;8;3;0;137;1283;1346;1146;0.603793466807165;1898
OTTMUST00000118907.1;pct;0;14;4;28;10;13;43;35;36;47;60;1;9;2;0;4;8;1;1;4;1;2;2;2;8;6;2;2;0;5;228;2577;2549;2349;0.84375;2784
